1,5,1,1,3,5,1,3,5,3,3,1,3,3,3,3,1,1,2,3,2,5,2,1,5,4,3,3,2,4,2,5,2,2,3,3,1,5,5,3,3,5,3,2,5,3,5,5,5,2,2,5,3,5,3,5,3,3,3,5,2,5,5,3,5,5,3,4,3,3,5,3,5,3,5,5,5,5,3,3,3,3,3,3,5,3,3,3,3,3,5,3,5,5,5,5,5,3,5,3,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,3,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,5,3,3,3,3,3,5,5,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
2,6,2,2,5,6,2,4,6,4,4,2,5,4,4,4,2,2,4,5,5,6,3,2,6,5,5,5,5,5,4,6,5,5,5,5,2,6,6,5,4,6,4,3,6,4,6,6,8,3,3,6,5,6,4,6,5,4,4,6,5,6,6,5,8,6,5,5,5,5,6,5,6,4,6,6,6,6,5,5,5,5,5,4,6,5,5,5,5,5,6,5,6,6,6,6,6,5,6,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,4,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5
3,7,3,5,6,8,3,5,8,5,5,3,6,5,5,5,3,3,5,6,6,8,4,3,8,6,6,6,6,6,5,8,6,6,6,6,3,8,8,8,5,8,5,4,8,5,8,8,9,5,4,8,6,8,5,8,8,5,5,8,6,8,8,8,12,8,8,6,6,6,8,6,8,5,8,8,8,8,6,6,6,6,6,5,8,6,6,6,6,6,8,6,8,8,8,8,8,6,8,6,6,6,6,8,6,6,6,6,6,8,6,6,6,6,8,6,6,6,6,5,6,8,6,6,8,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,8,6,6,8,6,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,8,6,8,6,6,6,6,6,8,8,8,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6
4,8,5,6,8,9,4,6,9,6,6,4,8,6,6,6,5,4,6,8,8,9,5,5,16,8,8,9,8,8,6,10,8,8,17,9,5,9,16,9,8,16,6,5,16,6,16,12,12,6,5,16,8,16,6,16,12,6,6,16,8,16,16,12,16,12,12,8,8,8,16,8,16,6,16,16,12,16,8,8,8,8,8,6,16,8,8,8,8,8,16,8,16,16,16,16,16,8,16,8,8,8,8,16,8,8,8,8,8,16,8,8,8,8,16,8,8,8,8,6,8,12,8,8,16,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,8,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,8,8,16,8,16,8,8,8,8,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8
5,9,6,7,9,10,5,8,13,8,9,5,9,8,9,8,6,5,8,9,13,10,6,6,19,9,12,12,16,9,8,14,13,13,19,12,6,12,19,12,12,19,8,6,19,8,17,16,16,8,6,19,16,19,8,17,16,8,8,17,16,17,19,16,17,16,16,16,12,12,17,16,19,8,19,19,16,17,16,16,12,16,12,8,17,16,16,16,16,16,17,12,17,19,19,19,17,16,19,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,17,16,16,12,16,8,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,19,16,16,17,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,17,16,17,16,16,16,16,16,19,19,17,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16
6,11,7,8,11,13,6,9,14,9,10,6,10,9,10,9,8,6,13,10,14,16,8,8,21,12,16,17,19,16,13,16,14,14,20,17,8,16,21,16,16,21,16,8,21,16,19,19,19,14,8,21,17,21,16,19,17,12,16,19,17,19,24,24,19,19,17,17,16,16,19,17,24,16,20,24,19,19,17,17,16,17,16,16,19,17,17,17,17,17,19,16,19,24,24,24,19,17,24,17,17,17,17,19,17,17,17,17,17,19,17,17,17,17,19,17,17,16,17,16,17,17,17,17,19,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,24,17,17,19,17,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,19,17,19,17,17,17,17,17,24,24,19,17,17,17,17,19,17,17,17,17,17,17,17,17,17,17,17
7,12,8,9,12,14,8,13,15,10,17,9,13,10,12,17,9,8,14,19,16,19,12,13,22,14,19,19,20,17,14,19,16,16,21,19,11,19,22,19,17,22,17,16,24,17,21,21,21,15,12,22,19,22,17,21,19,16,17,20,19,24,35,25,24,21,19,19,17,17,24,19,25,17,24,33,24,24,19,19,17,19,17,17,20,19,19,19,19,19,24,17,24,25,33,33,24,19,25,19,19,19,19,24,19,19,19,19,19,24,19,19,19,19,24,19,19,17,19,17,19,19,19,19,24,19,19,19,19,19,19,19,19,19,19,24,19,19,19,19,19,33,19,19,24,19,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,19,19,19,19,19,19,24,19,24,19,19,19,19,19,25,33,24,19,19,19,19,24,19,19,19,19,19,19,19,19,19,19,19
8,13,9,10,13,16,13,14,16,13,19,13,14,17,17,19,10,9,15,21,19,21,16,14,23,16,20,20,23,19,16,21,19,21,22,21,12,21,24,21,19,24,19,17,25,19,22,22,22,16,16,24,21,24,19,24,24,17,19,24,20,25,36,28,25,22,24,20,19,19,33,20,27,19,25,35,25,25,20,24,19,24,19,19,24,24,24,24,24,20,33,19,33,26,34,34,25,24,33,24,24,20,20,25,24,24,24,24,24,33,24,24,24,24,33,24,24,19,24,19,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,33,24,24,24,24,24,35,24,24,33,24,33,33,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,24,24,24,24,24,24,33,24,33,24,24,24,24,24,33,35,33,24,24,24,20,33,24,24,24,24,24,24,24,24,24,24,24
11,14,10,13,14,21,14,15,19,14,20,14,19,19,19,20,13,10,16,22,20,22,17,16,24,19,21,21,24,21,17,22,20,22,23,22,13,22,25,22,20,25,20,19,26,20,24,24,24,17,17,25,22,25,20,25,33,19,20,25,24,33,38,33,27,24,25,24,24,20,34,24,33,20,26,36,26,33,24,25,20,33,24,20,25,33,33,25,33,24,34,24,34,33,35,35,33,25,35,27,33,24,24,26,33,33,33,33,33,35,27,33,33,33,34,33,33,24,33,24,33,33,33,33,33,33,25,33,33,25,33,33,33,25,33,35,33,33,33,33,33,36,25,25,35,33,34,34,33,33,33,33,25,33,33,33,33,33,33,33,33,33,33,33,33,33,35,33,33,33,33,33,33,35,33,35,33,33,33,33,33,35,36,35,33,33,33,24,35,33,33,33,33,33,33,33,33,33,33,33
12,16,13,14,16,22,15,16,21,17,21,17,21,20,20,21,16,13,19,23,21,23,19,19,25,20,22,22,25,22,19,24,24,24,24,23,14,23,26,24,21,26,21,20,34,24,25,25,25,19,19,26,24,26,24,33,34,20,24,26,25,34,40,35,34,25,26,33,27,24,35,27,34,24,27,38,35,34,25,27,24,34,25,24,27,34,34,33,34,27,35,33,35,35,36,36,34,33,36,33,35,25,33,33,34,34,34,34,34,36,33,35,34,34,35,34,34,33,35,33,35,35,34,34,35,34,33,35,34,33,35,34,34,33,34,36,35,34,34,35,34,38,33,33,36,34,35,35,34,34,34,35,33,34,35,34,35,35,34,35,35,34,35,35,34,35,36,34,35,35,35,35,34,36,35,36,34,35,35,34,34,36,38,36,34,34,35,33,36,35,34,35,35,35,34,35,35,34,35,35
